"cycle","variable_name","variable_label","has_value_labels","n_value_labels"
"2010-2011","MAM_31D","Had mammogram - previously detected lump",TRUE,6
"2013-2014","MAM_31D","Had mammogram - previously detected lump",TRUE,6
"2010-2011","MAM_31E","Had mammogram - follow-up treatment",TRUE,6
"2013-2014","MAM_31E","Had mammogram - follow-up treatment",TRUE,6
"2010-2011","MAM_31F","Had mammogram - hormone replac. therapy",TRUE,6
"2010-2011","MAM_31G","Had mammogram - breast problem",TRUE,6
"2013-2014","MAM_31G","Had mammogram - breast problem",TRUE,6
"2010-2011","MAM_31H","Had mammogram - other",TRUE,6
"2010-2011","MAM_36A","No mam. -have not gotten ar.to it -2 yrs",TRUE,6
"2013-2014","MAM_36A","No mam. -have not gotten ar.to it -2 yrs",TRUE,6
"2010-2011","MAM_36B","No mam. resp.- didn't think nec. - 2 yrs",TRUE,6
"2013-2014","MAM_36B","No mam. resp.- didn't think nec. - 2 yrs",TRUE,6
"2010-2011","MAM_36C","No mam. -doctor didn't think nec. -2 yrs",TRUE,6
"2013-2014","MAM_36C","No mam. -doctor didn't think nec. -2 yrs",TRUE,6
"2010-2011","MAM_36D","No mam. - personal/family resp. - 2 yrs",TRUE,6
"2013-2014","MAM_36D","No mam. - personal/family resp. - 2 yrs",TRUE,6
"2010-2011","MAM_36E","No mam. - not ava. when required - 2 yrs",TRUE,6
"2010-2011","MAM_36F","No mam. - not avai. in the area - 2 yrs",TRUE,6
"2010-2011","MAM_36G","No mam. -wait. time was too long - 2 yrs",TRUE,6
"2010-2011","MAM_36H","No mam. -transportation problems - 2 yrs",TRUE,6
"2013-2014","MAM_36H","No mam. -transportation problems - 2 yrs",TRUE,6
"2010-2011","MAM_36I","No mam. - language problem - 2 yrs",TRUE,6
"2010-2011","MAM_36J","No mam. - cost - 2 yrs",TRUE,6
"2010-2011","MAM_36K","No mam. -did not know where to go -2 yrs",TRUE,6
"2013-2014","MAM_36K","No mam. -did not know where to go -2 yrs",TRUE,6
"2010-2011","MAM_36L","No mam. - fear - 2 yrs",TRUE,6
"2013-2014","MAM_36L","No mam. - fear - 2 yrs",TRUE,6
"2010-2011","MAM_36M","No mam. - other - 2 yrs",TRUE,6
"2010-2011","MAM_36N","No mam. -un. leave house/hlth pro -2 yrs",TRUE,6
"2013-2014","MAM_36N","No mam. -un. leave house/hlth pro -2 yrs",TRUE,6
"2010-2011","MAM_36O","No mam. -Breasts removed/Mastec. -2 yrs",TRUE,6
"2013-2014","MAM_36O","No mam. -Breasts removed/Mastec. -2 yrs",TRUE,6
"2010-2011","MASDM1","Mastery scale - (D)",TRUE,4
"2010-2011","MAS_601","Mastery - lack of control",TRUE,9
"2010-2011","MAS_602","Mastery - cannot solve problems",TRUE,9
"2010-2011","MAS_603","Mastery - cannot change things",TRUE,9
"2010-2011","MAS_604","Mastery - helpless",TRUE,9
"2010-2011","MAS_605","Mastery - pushed around",TRUE,9
"2010-2011","MAS_606","Mastery - fate depends upon self",TRUE,9
"2010-2011","MAS_607","Mastery - can do anything",TRUE,9
"2013-2014","MDBDBA1","Affect balance - method A - (D)",TRUE,4
"2013-2014","MDBDBA2","Affect balance - method B - (D)",TRUE,7
"2013-2014","MDBDNEG","Affect balance - negative mood - (D)",TRUE,4
"2013-2014","MDBDPOS","Affect balance - positive mood - (D)",TRUE,4
"2013-2014","MDB_1","Freq./felt on top of the world",TRUE,7
"2013-2014","MDB_10","Freq./felt upset/someone criticized you",TRUE,7
"2013-2014","MDB_11","Personnel self evaluation",TRUE,7
"2013-2014","MDB_2","Freq./felt lonely/remote",TRUE,7
"2013-2014","MDB_3","Freq./felt partic. excited/interested",TRUE,7
